,materials id,K_VRH,G_VRH
201,mp-566131,43.568416600000006,22.011135100000004
202,mp-983430,180.04599,61.05017471
203,mp-754483,51.0737648,22.76741791
204,mp-862369,147.68692019999997,63.00956345
205,mp-4478,74.82312012,32.11095428
206,mp-2693,33.20736694,14.60052872
207,mp-2611,27.56560516,30.66281319
208,mp-17481,151.97389219999997,79.74676514
209,mp-865929,123.4176483,32.98137665
210,mp-864943,195.84329219999998,107.8291321
211,mp-672287,24.42539215,22.57011414
212,mp-1018161,110.609848,39.54863739
213,mp-28270,14.55391693,9.814338683999999
214,mp-542065,55.69714355,18.59782791
215,mp-1018643,138.1472168,28.98796654
216,mp-989545,15.62167358,8.562480927000001
217,mp-18717,166.7125854,84.33905029
218,mp-608366,66.20858765,10.17834473
219,mp-13085,140.2902374,62.24199295
220,mp-550008,177.3040009,69.54380798
221,mp-28145,15.54468536,9.487060547
222,mp-752463,148.67099,54.40501022
223,mp-10485,22.78450775,21.28461075
224,mp-578606,96.92153931,37.28829193
225,mp-27438,22.34686279,12.97467041
226,mp-553243,71.98603821,36.48772049
227,mp-14208,56.57022858,33.83988953
228,mp-30409,116.8044739,36.86949158
229,mp-753490,136.2783051,57.04823685
230,mp-1029368,117.05801389999999,49.4496727
231,mp-21163,204.9954376,51.59391785
232,mp-21090,143.80921940000002,53.6601181
233,mp-24289,128.45272830000002,34.29767609
234,mp-4359,98.13018799,46.85383224
235,mp-752415,121.387413,47.03029633
236,mp-24722,182.9512329,59.15591431
237,mp-4192,41.0355835,42.8094635
238,mp-2090,183.53848269999997,84.88899231
239,mp-541487,66.34104919,27.2730751
240,mp-27848,41.13674164,36.97516632
241,mp-864597,39.92808151,19.148982999999998
242,mp-510456,44.30290985,15.329162599999998
243,mp-3676,94.26300049,36.72444153
244,mp-6586,44.30025482,23.86262131
245,mp-865362,134.798584,53.68987274
246,mp-9479,26.57292938,28.8527565
247,mp-30234,11.62155151,8.818683624
248,mp-1029267,147.57109069999998,81.94857788
249,mp-7851,225.0184631,119.2614746
250,mp-557772,42.67630386,20.13469315
251,mp-1330,210.1908875,151.3989563
252,mp-9961,144.7934113,86.38124847
253,mp-1007961,124.2905121,35.80250549
254,mp-989533,58.33385086,22.02119446
255,mp-865050,155.67793269999999,67.67670441
256,mp-11230,50.74481583,43.44163132
257,mp-19417,177.1381226,62.0702095
258,mp-864966,229.4865417,103.1464691
259,mp-31059,45.35476685,36.55565643
260,mp-776475,175.5250854,104.7192688
261,mp-610972,127.37982179999999,43.293396
262,mp-2794,232.71875,99.28870392
263,mp-865588,85.71126556,40.55713654
264,mp-3953,58.86140823,22.23894501
265,mp-13797,40.17460632,19.39055634
266,mp-865916,263.0008545,114.9471207
267,mp-15778,77.6319046,34.33058167
268,mp-978851,136.7636871,79.32141876
269,mp-11233,92.88323975,63.84300613
270,mp-2301,105.187706,88.52802277
271,mp-12427,164.2466431,79.4105072
272,mp-1009835,295.8927612,217.3419495
273,mp-29551,2.68422699,13.57493973
274,mp-999543,224.61114500000002,129.1927185
275,mp-8789,40.63161087,35.51834488
276,mp-894,168.5771637,59.38004684
277,mp-11521,102.01862340000001,44.81594086
278,mp-22965,14.11795807,10.54675293
279,mp-999068,135.1077271,54.24394989
280,mp-28843,8.39289856,9.319805145
281,mp-867172,44.62500381,22.91023636
282,mp-504543,103.01914980000001,41.58351135
283,mp-581707,120.06240840000001,34.78991699
284,mp-867114,246.20483399999998,100.27140809999999
285,mp-9564,33.57735443,33.38315582
286,mp-5733,85.30876923,47.65996552
287,mp-20661,139.32006840000003,87.26006317
288,mp-7502,33.27898407,24.63982391
289,mp-684580,10.00238037,5.709194182999999
290,mp-864970,243.11436459999996,96.22355652
291,mp-999060,175.2318115,79.99358368
292,mp-1006887,105.64174650000001,45.2816925
293,mp-999496,9.525245667,16.28495407
294,mp-1086,274.5082397,160.1133881
295,mp-3804,96.51660919,65.18266296
296,mp-866187,155.9321899,75.92118073
297,mp-640024,174.0264282,51.72076035
298,mp-603640,54.40730667,42.72367859
299,mp-865926,115.3382034,30.43620491
300,mp-572283,114.94728090000001,52.07070541
301,mp-974337,200.7209625,75.12050629
302,mp-7859,128.1429749,70.13628387
303,mp-977427,156.8364868,60.21178436
304,mp-2343,34.43425751,26.02471733
305,mp-11259,135.98916630000002,40.94821167
306,mp-1008488,79.91520691,17.9078331
307,mp-576,193.3529358,188.9209595
308,mp-977189,4.655418396,12.05535126
309,mp-553946,106.55388640000001,68.8102417
310,mp-867794,120.08581540000002,46.57500458
311,mp-864941,38.39674759,32.86739349
312,mp-819,216.3913269,66.70231628
313,mp-571461,10.5239563,13.52389145
314,mp-3432,87.58320618,45.67528915
315,mp-18922,136.3482361,63.483699800000004
316,mp-755552,51.10461426,24.48450851
317,mp-861733,78.4835968,24.41064072
318,mp-1670,167.141449,63.06374359
319,mp-13126,132.6516418,51.47283173
320,mp-989585,35.60617065,13.35253525
321,mp-1025315,29.19013977,14.92868423
322,mvc-14006,139.77423100000001,57.86095428
323,mp-9258,244.43394469999998,134.9366302
324,mp-15053,146.33972169999998,40.06656647
