6.25,0.125,Aluminum 5056-H18,"['Manganese, Mn', '0.05 - 0.20 %', '0.05 - 0.20 %', '']","['Tensile Strength, Ultimate', '434 MPa', '63000 psi', 'AA; Typical']","['Tensile Strength, Yield', '407 MPa', '59000 psi', 'AA; Typical']","['Elongation at Break', '10 %@Diameter 12.7 mm', '10 %@Diameter 0.500 in', 'AA; Typical']"
#VALUE!, ,Aluminum 5056-H18,"['Other, each', '<= 0.05 %', '<= 0.05 %', '']","['Tensile Strength, Ultimate', '434 MPa', '63000 psi', 'AA; Typical']","['Tensile Strength, Yield', '407 MPa', '59000 psi', 'AA; Typical']","['Elongation at Break', '10 %@Diameter 12.7 mm', '10 %@Diameter 0.500 in', 'AA; Typical']"
#VALUE!, ,Aluminum 5056-H18,"['Other, total', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '434 MPa', '63000 psi', 'AA; Typical']","['Tensile Strength, Yield', '407 MPa', '59000 psi', 'AA; Typical']","['Elongation at Break', '10 %@Diameter 12.7 mm', '10 %@Diameter 0.500 in', 'AA; Typical']"
15,0.3,Aluminum 5056-H18,"['Silicon, Si', '<= 0.30 %', '<= 0.30 %', '']","['Tensile Strength, Ultimate', '434 MPa', '63000 psi', 'AA; Typical']","['Tensile Strength, Yield', '407 MPa', '59000 psi', 'AA; Typical']","['Elongation at Break', '10 %@Diameter 12.7 mm', '10 %@Diameter 0.500 in', 'AA; Typical']"
5,0.1,Aluminum 5056-H18,"['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '434 MPa', '63000 psi', 'AA; Typical']","['Tensile Strength, Yield', '407 MPa', '59000 psi', 'AA; Typical']","['Elongation at Break', '10 %@Diameter 12.7 mm', '10 %@Diameter 0.500 in', 'AA; Typical']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Aluminum, Al', '92.9 - 95.4 %', '92.9 - 95.4 %', 'As remainder']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Chromium, Cr', '0.05 - 0.20 %', '0.05 - 0.20 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Copper, Cu', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Iron, Fe', '<= 0.40 %', '<= 0.40 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Magnesium, Mg', '4.5 - 5.6 %', '4.5 - 5.6 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Manganese, Mn', '0.05 - 0.20 %', '0.05 - 0.20 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Other, each', '<= 0.05 %', '<= 0.05 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Other, total', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Silicon, Si', '<= 0.30 %', '<= 0.30 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H191 Foil,"['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '450 MPa', '65300 psi', '']","['Tensile Strength, Yield', '435 MPa', '63100 psi', '']","['Elongation at Break', '3.5 %', '3.5 %', 'Foil']"
#VALUE!, ,Aluminum 5056-H38,"['Aluminum, Al', '92.9 - 95.4 %', '92.9 - 95.4 %', 'As remainder']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Chromium, Cr', '0.05 - 0.20 %', '0.05 - 0.20 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Copper, Cu', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Iron, Fe', '<= 0.40 %', '<= 0.40 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Magnesium, Mg', '4.5 - 5.6 %', '4.5 - 5.6 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Manganese, Mn', '0.05 - 0.20 %', '0.05 - 0.20 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Other, each', '<= 0.05 %', '<= 0.05 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Other, total', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Silicon, Si', '<= 0.30 %', '<= 0.30 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-H38,"['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '414 MPa', '60000 psi', 'AA; Typical']","['Tensile Strength, Yield', '345 MPa', '50000 psi', 'AA; Typical']","['Elongation at Break', '15 %@Temperature 24.0 °C', '15 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['', '55 %@Temperature 149 °C', '55 %@Temperature 300 °F', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['', '65 %@Temperature 204 °C', '65 %@Temperature 399 °F', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['', '80 %@Temperature 260 °C', '80 %@Temperature 500 °F', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['', '100 %@Temperature 316 °C', '100 %@Temperature 601 °F', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['', '130 %@Temperature 371 °C', '130 %@Temperature 700 °F', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['', '35 %@Diameter 12.7 mm', '35 %@Diameter 0.500 in', 'AA; Typical']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Modulus of Elasticity', '71.0 GPa', '10300 ksi', 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Poissons Ratio', '0.33', '0.33', 'Estimated from trends in similar Al alloys.']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Fatigue Strength', '138 MPa@# of Cycles 5.00e+8', '20000 psi@# of Cycles 5.00e+8', 'completely reversed stress; RR Moore machine/specimen']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!,  ,Aluminum 5056-O,"['Shear Modulus', '25.9 GPa', '3760 ksi', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Shear Strength', '179 MPa', '26000 psi', 'AA; Typical']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Electrical Properties', 'Metric', 'English', 'Comments']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Electrical Resistivity', '0.00000598 ohm-cm@Temperature 20.0 °C', '0.00000598 ohm-cm@Temperature 68.0 °F', 'AA; Typical']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
#VALUE!, ,Aluminum 5056-O,"['Thermal Properties', '']","['Tensile Strength, Ultimate', '290 MPa', '42000 psi', 'AA; Typical']","['Tensile Strength, Yield', '152 MPa', '22000 psi', 'AA; Typical']","['Elongation at Break', '35 %@Temperature 24.0 °C', '35 %@Temperature 75.2 °F', '']"
4737.5,94.75,Aluminum 5082-H19,"['Aluminum, Al', '93.5 - 96 %', '93.5 - 96 %', 'As remainder']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
7.5,0.15,Aluminum 5082-H19,"['Chromium, Cr', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
7.5,0.15,Aluminum 5082-H19,"['Copper, Cu', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
17.5,0.35,Aluminum 5082-H19,"['Iron, Fe', '<= 0.35 %', '<= 0.35 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
225,4.5,Aluminum 5082-H19,"['Magnesium, Mg', '4.0 - 5.0 %', '4.0 - 5.0 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
7.5,0.15,Aluminum 5082-H19,"['Manganese, Mn', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
#VALUE!, ,Aluminum 5082-H19,"['Other, each', '<= 0.05 %', '<= 0.05 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
#VALUE!, ,Aluminum 5082-H19,"['Other, total', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
10,0.2,Aluminum 5082-H19,"['Silicon, Si', '<= 0.20 %', '<= 0.20 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
5,0.1,Aluminum 5082-H19,"['Titanium, Ti', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
12.5,0.25,Aluminum 5082-H19,"['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '370 MPa', '53700 psi', '']","['Elongation at Break', '4.0 %@Thickness 1.60 mm', '4.0 %@Thickness 0.0630 in', 'In 5 cm']"
4700,94,Aluminum 5083-H112,"['Aluminum, Al', '92.4 - 95.6 %', '92.4 - 95.6 %', 'As remainder']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
7.5,0.15,Aluminum 5083-H112,"['Chromium, Cr', '0.05 - 0.25 %', '0.05 - 0.25 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
5,0.1,Aluminum 5083-H112,"['Copper, Cu', '<= 0.10 %', '<= 0.10 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
20,0.4,Aluminum 5083-H112,"['Iron, Fe', '<= 0.40 %', '<= 0.40 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
222.5,4.45,Aluminum 5083-H112,"['Magnesium, Mg', '4.0 - 4.9 %', '4.0 - 4.9 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
35,0.7,Aluminum 5083-H112,"['Manganese, Mn', '0.40 - 1.0 %', '0.40 - 1.0 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
#VALUE!, ,Aluminum 5083-H112,"['Other, each', '<= 0.05 %', '<= 0.05 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
#VALUE!, ,Aluminum 5083-H112,"['Other, total', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
20,0.4,Aluminum 5083-H112,"['Silicon, Si', '<= 0.40 %', '<= 0.40 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
7.5,0.15,Aluminum 5083-H112,"['Titanium, Ti', '<= 0.15 %', '<= 0.15 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
12.5,0.25,Aluminum 5083-H112,"['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']","['Tensile Strength, Ultimate', '300 MPa', '43500 psi', '']","['Tensile Strength, Yield', '190 MPa', '27600 psi', '']","['Elongation at Break', '>= 12 %@Thickness 6.35 - 38.1 mm', '>= 12 %@Thickness 0.250 - 1.50 in', '']"
