2.7,0.054,"Silver-bearing tough pitch Copper, UNS C11500","['Silver, Ag', '<= 0.054 %', '<= 0.054 %', '']","['Tensile Strength, Ultimate', '221 - 455 MPa', '32100 - 66000 psi', '']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
4995,99.9,"Silver-bearing tough pitch Copper, UNS C11600","['Copper, Cu', '99 - 99.9 %', '99 - 99.9 %', '']","['Tensile Strength, Ultimate', '221 - 455 MPa', '32100 - 66000 psi', '']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
4.25,0.085,"Silver-bearing tough pitch Copper, UNS C11600","['Silver, Ag', '<= 0.085 %', '<= 0.085 %', '']","['Tensile Strength, Ultimate', '221 - 455 MPa', '32100 - 66000 psi', '']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
4995,99.9,"Copper, UNS C12000","['Copper, Cu', '99.9 %', '99.9 %', '']","['Tensile Strength, Ultimate', '221 - 393 MPa', '32100 - 57000 psi', 'Depending on temper']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
0.4,0.008,"Copper, UNS C12000","['Phosphorous, P', '0.008 %', '0.008 %', '']","['Tensile Strength, Ultimate', '221 - 393 MPa', '32100 - 57000 psi', 'Depending on temper']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
4995,99.9,"Copper, UNS C12100","['Copper, Cu', '99.9 %', '99.9 %', 'includes Ag']","['Tensile Strength, Ultimate', '221 - 393 MPa', '32100 - 57000 psi', 'Depending on temper']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
0.4,0.008,"Copper, UNS C12100","['Phosphorous, P', '0.008 %', '0.008 %', '']","['Tensile Strength, Ultimate', '221 - 393 MPa', '32100 - 57000 psi', 'Depending on temper']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
0.7,0.014,"Copper, UNS C12100","['Silver, Ag', '0.014 %', '0.014 %', '4 troy oz./ton']","['Tensile Strength, Ultimate', '221 - 393 MPa', '32100 - 57000 psi', 'Depending on temper']","['Tensile Strength, Yield', '69.0 - 365 MPa', '10000 - 52900 psi', 'Depending on temper']","['Elongation at Break', '55 %', '55 %', 'in 101.6 mm (4 in.)']"
4995,99.9,"Phosphorus deoxidized Copper high residual phosphorus, UNS C12200","['Copper, Cu', '99.9 %', '99.9 %', '']","['Tensile Strength, Ultimate', '221 - 379 MPa', '32100 - 55000 psi', '']","['Tensile Strength, Yield', '69.0 - 345 MPa', '10000 - 50000 psi', 'Depending on temper']","['Elongation at Break', '45 %', '45 %', 'in 203.2 mm.']"
1,0.02,"Phosphorus deoxidized Copper high residual phosphorus, UNS C12200","['Phosphorous, P', '0.020 %', '0.020 %', '']","['Tensile Strength, Ultimate', '221 - 379 MPa', '32100 - 55000 psi', '']","['Tensile Strength, Yield', '69.0 - 345 MPa', '10000 - 50000 psi', 'Depending on temper']","['Elongation at Break', '45 %', '45 %', 'in 203.2 mm.']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, OSO25 Temper flat products","['Antimony, Sb', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '235 MPa', '34100 psi', '']","['Tensile Strength, Yield', '76.0 MPa@Strain 0.500 %', '11000 psi@Strain 0.500 %', '']","['Elongation at Break', '45 %', '45 %', 'In 50 mm']"
