material_id,MagpieData minimum Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range AtomicWeight,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,std_dev oxidation state,elasticity.G_VRH predicted
mp-1025155,27.0,9.959183673469388,41.0,74.0,33.0,67.0,10.0,116.03360500000001,1936.0,1633.09,745.5071428571429,632.2816326530611,11.0,4.285714285714286,65.0,131.85714285714286,15.755102040816329,122.0,0.6099999999999999,1.7428571428571427,10.0,8.285714285714286,2.4489795918367343,17.0,8.0,13.0,1.1428571428571428,3.5714285714285716,1.7142857142857142,3.0,5.285714285714286,1.0612244897959182,5.0,28.865,19.056785714285716,2.80234693877551,18.8575,0.0,101.14285714285714,0.0,47.88464076468177
mp-2302,33.0,5.333333333333333,59.0,84.0,25.0,67.33333333333333,11.111111111111109,27.983900000000006,2237.0,1147.0,1854.6666666666667,509.77777777777777,11.0,4.666666666666667,23.0,134.33333333333334,10.22222222222222,142.0,0.09999999999999964,2.2466666666666666,10.0,8.666666666666666,0.8888888888888887,15.0,6.0,11.0,2.6666666666666665,1.0,1.3333333333333333,3.0,3.0,0.0,3.0,22.175,16.485,3.793333333333333,13.64,0.0,205.33333333333334,0.0,59.69833430850325
mp-30494,21.0,10.125,11.0,70.0,59.0,55.25,22.125,67.455088,1814.0,1219.78,899.165,457.41749999999996,9.75,4.75,26.0,150.5,9.75,144.0,0.32999999999999985,1.6075000000000002,10.0,7.75,3.375,12.0,9.0,9.75,3.375,0.0,2.25,0.0,2.25,3.375,0.0,22.235,20.18,1.027499999999999,19.495,0.0,194.0,0.0,21.10621825554117
mp-571506,13.0,24.666666666666668,37.0,78.0,41.0,62.666666666666664,17.11111111111111,141.9526714,1818.0,884.53,1479.49,364.0133333333333,10.0,4.0,79.0,140.66666666666666,32.888888888888886,111.0,0.6499999999999999,1.5866666666666667,0.0,0.0,0.0,15.0,12.0,7.333333333333333,5.111111111111111,3.0,0.0,1.0,3.3333333333333335,1.5555555555555554,1.0,29.78,22.233333333333334,5.0311111111111115,16.48,0.25766666666666665,215.33333333333334,0.0,53.00583077477127
mp-5461,8.0,16.88888888888889,4.0,87.0,83.0,63.0,32.0,164.94848,3290.0,3235.2,388.815,483.5308333333333,11.333333333333334,3.0833333333333335,154.0,113.16666666666667,62.88888888888889,66.0,2.62,2.6233333333333335,3.0,0.25,0.4583333333333333,19.0,18.0,5.833333333333333,2.416666666666667,1.3333333333333333,0.5833333333333334,1.0,2.1666666666666665,0.8055555555555555,2.0,90.7225,30.260625000000005,30.2309375,9.105,0.0,84.33333333333333,0.0,49.75655619568126
mp-5323,8.0,15.6,15.0,87.0,72.0,69.8,21.92,124.11660000000002,1071.0,1016.2,433.774,454.7688,12.8,3.0,138.0,104.6,46.32,66.0,2.32,2.6100000000000003,1.0,0.2,0.32,6.0,3.0,5.0,1.2,2.2,1.8,2.0,6.6,6.159999999999999,2.0,37.24,16.207,8.522400000000001,9.105,0.0,91.0,3.2732683535398857,121.36272453677526
mp-3700,3.0,8.666666666666666,1.0,93.0,92.0,64.16666666666667,38.44444444444444,81.96485,1799.0,1745.5,411.115,476.82,12.0,2.5,133.0,91.0,45.333333333333336,57.0,3.0,3.02,1.0,0.16666666666666666,0.27777777777777773,7.0,6.0,5.333333333333333,2.2222222222222223,0.6666666666666666,1.5,1.0,2.3333333333333335,2.2222222222222223,1.0,32.365,14.631388888883334,6.5651851851777785,9.7075,1.3133333333333332,80.5,2.1602468994692865,30.27590822136746
mp-674953,29.0,11.0,64.0,90.0,26.0,79.5,10.5,64.054,1357.77,635.11,1015.82,293.16,14.0,4.5,18.0,133.0,5.0,138.0,0.20000000000000018,2.018333333333333,10.0,10.0,0.0,16.0,5.0,14.0,2.0,1.6666666666666667,0.0,1.0,2.0,0.6666666666666666,2.0,34.7633333333,24.905833333316664,9.857499999983332,34.7633333333,0.29583333333333334,188.5,2.860387767736777,22.0
mp-676,7.0,3.1836734693877555,7.0,82.0,75.0,71.28571428571429,18.36734693877551,26.0713,1115.0,1051.95,213.32857142857142,257.6204081632653,13.142857142857142,2.2857142857142856,105.0,86.0,25.714285714285715,71.0,2.04,2.7485714285714287,0.0,0.0,0.0,5.0,3.0,4.571428571428571,0.7346938775510206,2.5714285714285716,0.0,0.0,2.5714285714285716,0.7346938775510203,3.0,37.77,18.05464285714286,5.632959183673471,14.76875,5.517428571428572,198.42857142857142,4.743416490252569,50.15425554007658
mp-1029257,7.0,19.0,54.0,82.0,28.0,73.0,9.0,172.2003,3459.0,3395.95,838.9183333333332,873.3605555555555,12.666666666666666,3.3333333333333335,80.0,101.33333333333333,30.333333333333332,71.0,1.3900000000000001,2.3866666666666667,10.0,4.166666666666667,4.166666666666667,21.0,16.0,10.0,5.0,1.5,0.8333333333333334,0.0,2.3333333333333335,1.5555555555555556,3.0,14.76875,14.480208333333335,0.34680555555555487,14.76875,3.2185,194.0,4.0451991747794525,63.45962475446659
mp-974625,44.0,11.625,54.0,56.0,2.0,54.5,0.75,85.137,3459.0,852.0,3246.0,319.5,7.25,5.75,5.0,149.75,1.875,151.0,0.30000000000000027,1.9749999999999999,7.0,5.5,0.75,21.0,13.0,17.75,4.875,0.0,4.5,4.0,4.75,0.375,5.0,14.655,14.368749999999999,0.4293750000000003,14.655,0.0,194.0,0.0,139.95929431236289
mp-867149,38.0,5.5,8.0,80.0,72.0,41.5,33.5,31.08999999999999,1050.0,544.9200000000001,799.825,250.175,7.5,5.0,56.0,168.25,26.75,195.0,1.01,1.3875,10.0,5.0,5.0,14.0,12.0,7.5,5.5,1.0,0.0,0.0,1.0,1.5,0.0,54.23,40.31,13.919999999999998,54.23,0.0,196.25,0.0,20.924708496009487
mp-12546,22.0,2.625,43.0,64.0,21.0,58.75,7.875,15.679000000000002,1941.0,583.23,1503.5774999999999,218.71124999999995,9.25,4.0,28.0,139.0,10.5,132.0,0.3599999999999999,1.8099999999999998,10.0,8.0,3.0,11.0,7.0,9.25,2.625,0.0,2.0,1.0,2.75,2.625,1.0,16.69,12.475000000000001,2.107500000000001,11.07,0.0,217.25,0.0,54.84196578566149
mp-541,51.0,8.25,48.0,85.0,37.0,57.25,13.875,59.18787999999999,3290.0,2386.2200000000003,2693.445,894.8325,7.5,5.75,31.0,162.25,11.625,170.0,0.5499999999999998,1.6375,10.0,4.75,2.625,19.0,4.0,18.0,1.5,0.75,5.25,3.0,6.0,1.5,7.0,31.56,21.48,5.039999999999999,18.12,0.0,213.25,0.0,48.63919811302684
mp-7149,3.0,3.0,1.0,82.0,81.0,21.75,30.125,16.048769280000002,453.69,390.64,314.62,125.785,4.5,2.5,95.0,132.75,33.25,166.0,2.11,1.47,0.0,0.0,0.0,5.0,4.0,2.0,1.5,0.75,0.0,1.0,1.5,0.75,1.0,29.2433333333,22.462187499975,6.7811458333250005,29.2433333333,1.60925,220.25,2.1908902300206647,10.560279879326393
mp-999549,7.0,29.777777777777782,51.0,82.0,31.0,71.66666666666667,13.777777777777777,169.8333,3695.0,3631.95,1273.7,1614.2,12.0,3.3333333333333335,91.0,101.33333333333333,40.44444444444444,71.0,0.6800000000000002,2.813333333333333,4.0,1.3333333333333333,1.777777777777778,20.0,15.0,10.0,6.666666666666667,2.0,2.0,3.0,4.0,1.3333333333333333,3.0,16.05,15.195833333333335,0.5694444444444446,14.76875,4.291333333333333,205.66666666666666,6.363961030678928,51.25
